datetime,1,3,5,7,9
1984-01-13 23:00:00,5.932470041982554e-10,1.9935468487717487e-10,1.535589237593942e-10,2.07989028206578e-09,1.836649176699144e-09
1984-01-14 23:00:00,4.512356611451617e-10,1.1100151351894493e-10,1.3192095880017236e-10,1.7044675984868297e-09,8.570005323875833e-10
1984-01-15 23:00:00,0.0,0.0,0.0,0.0,0.0
1984-01-16 23:00:00,1.1695928050256852e-11,0.0,5.2239977742795385e-12,5.913657757143179e-10,9.99284650417933e-13
1984-01-17 23:00:00,0.0,0.0,0.0,1.6971878519850886e-11,0.0
1984-01-18 23:00:00,0.0,0.0,0.0,0.0,3.9102217299471333e-13
1984-01-19 23:00:00,0.0,0.0,0.0,0.0,0.0
1984-01-20 23:00:00,1.3072085157209249e-11,7.924684184588303e-13,1.6786117595512662e-12,1.0832621396898671e-10,1.4506114422585126e-11
1984-01-21 23:00:00,1.7194246605935472e-10,3.4663384280133027e-11,3.800279551392628e-11,7.839897578513181e-10,2.2901972341868613e-10
1984-01-22 23:00:00,6.348543145038463e-10,1.5916807266573112e-10,1.4795260978172775e-10,1.3646859399698398e-09,9.80677324588652e-10
1984-01-23 23:00:00,5.206453217262471e-10,4.374817945063114e-10,4.705195573882925e-10,8.064163503823457e-09,4.081192805811211e-09
1984-01-24 23:00:00,9.915378358629014e-08,1.1613691294634784e-07,9.893191081506234e-08,4.3356056566591614e-07,2.814700206120809e-07
1984-01-25 23:00:00,2.4203953367692454e-08,3.113472075374038e-08,3.085331232459457e-08,1.4370657779552318e-07,8.711500852196305e-08
1984-01-26 23:00:00,8.111936902558362e-10,1.2919269674630077e-09,5.695049271539406e-09,3.0854709998325067e-09,1.4556671872183129e-09
1984-01-27 23:00:00,3.034952269108207e-09,6.368661782255879e-09,5.7596157960317755e-09,5.02499606874254e-08,2.8304794320353755e-08
1984-01-28 23:00:00,4.857977748745017e-10,1.892251893877983e-09,2.010324452486303e-09,1.9642269169842756e-08,1.0893165513321206e-08
1984-01-29 23:00:00,9.132552400438321e-11,1.8311627812821555e-10,7.647029296667487e-11,6.683520903741872e-10,4.4513614503321825e-10
1984-01-30 23:00:00,2.7185823354456157e-10,5.734645054434185e-10,6.336236752017781e-10,2.7469162725740008e-09,2.8603406691992726e-09
1984-01-31 23:00:00,2.0150914443311868e-10,1.2523136791531687e-09,8.518747226507576e-10,2.01744199902923e-09,4.370617507784455e-09
1984-02-01 23:00:00,9.000254471579359e-11,7.602094060361937e-11,4.619911864951805e-11,1.178984422478135e-10,1.9355317043071543e-10
1984-02-02 23:00:00,6.407281034626067e-11,1.070545123959029e-09,4.782526822829688e-10,2.794739514313362e-10,2.293010690697917e-09
1984-02-03 23:00:00,9.933654736313555e-10,1.6073870507103424e-09,6.555391613531995e-10,2.897003734553302e-09,3.165860694867593e-09
1984-02-04 23:00:00,2.239289762521232e-09,1.6538867795908892e-09,1.889010718851178e-09,6.1958255591215914e-09,2.6917483450637925e-09
1984-02-05 23:00:00,2.4006615772291466e-09,4.122082006048273e-09,2.8921034256065333e-09,8.454834007554585e-09,1.0776076189897679e-08
1984-02-06 23:00:00,1.1070821158311985e-09,3.5360617632115327e-09,1.728906710114744e-09,7.498215332075402e-09,9.004117714034186e-09
1984-02-07 23:00:00,1.935019778708617e-09,3.5201568432428218e-09,2.1768607958047477e-09,6.853678712138423e-09,7.686798495275004e-09
1984-02-08 23:00:00,3.7713429062730736e-10,9.643335619734394e-10,6.201642530935782e-10,2.9492271305234345e-09,3.048486800657378e-09
1984-02-09 23:00:00,3.6723766889837052e-09,5.128678210355617e-09,2.8187997156271227e-09,2.8173824151357014e-08,2.139928854174084e-08
1984-02-10 23:00:00,9.580635189734123e-10,1.2462015513813606e-10,2.3161653963917936e-10,6.525954576554122e-09,2.2442017992337544e-09
1984-02-11 23:00:00,3.3665996010380763e-10,1.7762284174009606e-09,9.898580093350675e-10,4.562677608595954e-09,4.90106573259389e-09
1984-02-12 23:00:00,6.61504379025212e-08,9.676397950560958e-08,5.930151100511904e-08,2.530988278212371e-07,2.193956904941135e-07
1984-02-13 23:00:00,3.4686090769591155e-07,4.2501233242176196e-07,2.8769746974662497e-07,7.111087993339256e-07,7.543077292265716e-07
1984-02-14 23:00:00,4.047713828859506e-09,1.5691343556951593e-09,7.0162696970833675e-09,9.923099919601723e-09,7.961905664867825e-09
1984-02-15 23:00:00,1.7667065064112345e-09,1.4653096527413085e-09,9.205335475228451e-10,7.374709541047061e-09,5.4996574504507915e-09
1984-02-16 23:00:00,2.1529571946572374e-09,1.6244371525115436e-09,5.563753829510124e-09,8.327807127325624e-09,5.028538957790092e-09
1984-02-17 23:00:00,5.551752703333342e-10,1.1575295313916824e-09,6.435375522684168e-09,1.2415670789778232e-09,1.079009552658708e-09
1984-02-18 23:00:00,1.1164914920098252e-10,1.7708754899946076e-10,8.478504174423439e-11,9.620407837684507e-10,3.742508986895835e-10
1984-02-19 23:00:00,1.252922380377573e-10,2.643883581859646e-10,8.698149704960761e-11,7.884740760480916e-10,5.758408870961931e-10
1984-02-20 23:00:00,3.326007475455602e-09,2.7843318120748908e-09,1.7420017953824114e-09,9.094634679732499e-09,7.108517543033317e-09
1984-02-21 23:00:00,9.962301701307296e-09,6.3571016545648926e-09,5.757476513584455e-09,5.003233750661214e-08,2.2363517847326066e-08
1984-02-22 23:00:00,5.136185791343451e-10,1.8589174875092727e-10,1.2217276660656488e-09,6.70024762964911e-10,7.636736457546552e-10
1984-02-23 23:00:00,1.2372231005294318e-11,6.943143994754387e-11,8.475326467305423e-12,1.1808068612245498e-10,3.839340233416469e-10
1984-02-24 23:00:00,6.780104918612374e-09,1.295823776335628e-09,2.220792316452221e-09,1.575295571927671e-08,1.1120300602029871e-08
1984-02-25 23:00:00,4.4258747387815406e-08,6.487504061725404e-09,1.9090875155395932e-08,2.5282162759039138e-08,1.4380205560613562e-08
1984-02-26 23:00:00,1.8965936895390905e-11,1.683867055733033e-11,9.780124485216759e-11,4.3757001145018473e-10,2.3125802356473827e-10
1984-02-27 23:00:00,8.174016127466327e-11,1.29815475601289e-09,1.0713407148917516e-09,7.298106534613504e-09,7.433917511392523e-09
1984-02-28 23:00:00,2.8126410864017627e-09,7.153204469769089e-09,4.432325906775616e-09,2.813036243120829e-08,2.712744805547926e-08
1984-02-29 23:00:00,3.921245052306741e-09,8.285035965619265e-09,5.359317831419133e-09,3.801652678736934e-08,3.115142661112326e-08
1984-03-01 23:00:00,2.634180364785371e-08,3.4976596081698386e-08,2.102622969282998e-08,7.105134703494884e-08,7.859287438569246e-08
1984-03-02 23:00:00,8.597591960871661e-09,1.0896585191841478e-08,7.961953265799416e-09,3.61693705673571e-08,3.159025477038489e-08
1984-03-03 23:00:00,2.0662173887507782e-10,4.3536605382407153e-10,1.3805413618683815e-09,1.353150992481797e-09,6.189681072201994e-10
1984-03-04 23:00:00,8.555241274061027e-10,2.3950939929043805e-09,3.400791988328651e-09,1.7464559318290817e-09,3.974439093360195e-09
1984-03-05 23:00:00,4.782923324792473e-09,8.25076260500484e-09,4.0267328559248535e-09,7.570327983962165e-09,1.5426382974342063e-08
1984-03-06 23:00:00,1.9193411701255375e-08,1.988124516275194e-08,1.2418273146505709e-08,2.2231472863091362e-08,3.62488544649548e-08
1984-03-07 23:00:00,3.250866852424763e-08,2.8382476281236718e-08,2.023699520914643e-08,1.9318323444437097e-08,3.861050914835047e-08
1984-03-08 23:00:00,6.095561164396781e-08,4.7712160481346975e-08,3.648516756516916e-08,3.5959840924651534e-08,6.350894769032796e-08
1984-03-09 23:00:00,6.277080487321924e-08,4.952286680539449e-08,4.656547197589168e-08,3.6198836233880785e-08,5.265482045986034e-08
1984-03-10 23:00:00,4.300859515313749e-08,4.579878239719956e-08,3.668148484494951e-08,5.089545691454852e-08,6.177625722355313e-08
1984-03-11 23:00:00,3.746472850993828e-08,3.9846673607826235e-08,2.674284632559176e-08,6.84580096492061e-08,9.171009063720703e-08
